"","logFC","AveExpr","t","P.Value","adj.P.Val","B","stand","SYMBOL"
"BAX",-1.30032647199763,4.1166679608268,-12.0690682970032,5.07177961670178e-29,4.03991809659436e-27,54.247067569219,"down","BAX"
"GSDMD",-1.0699099414769,4.70184383218184,-10.6726920889397,1.05182252907952e-23,4.06976554044839e-22,42.0755584306288,"down","GSDMD"
"APIP",-0.753019707181977,2.05081746421671,-10.6588256948194,1.18299307053341e-23,4.53522103803246e-22,41.9588291040594,"not","APIP"
"CHMP6",-0.747612442527835,3.69792678692586,-9.71156835144932,2.93554964448733e-20,7.46831969902753e-19,34.201320493106,"not","CHMP6"
"CHMP2A",-0.840251552584648,5.80921099576962,-9.551358601201,1.05426111612401e-19,2.50938213563525e-18,32.9337980586499,"not","CHMP2A"
"CHMP4B",-0.803403031701104,5.6992680289363,-9.46492015760661,2.08994431323211e-19,4.83078300145224e-18,32.2555711554279,"not","CHMP4B"
"BAK1",-1.11159772482589,2.68823767817042,-8.94683177969925,1.16156751154719e-17,2.23977682617918e-16,28.2761759187336,"down","BAK1"
"DHX9",-0.823951090191386,3.96603346948624,-8.67017164552518,9.34026895541145e-17,1.6386727268618e-15,26.2136264953245,"not","DHX9"
"CASP3",-0.762953278469789,3.01593065161654,-8.50209044565117,3.2435264479979e-16,5.34367321442589e-15,24.9826358282305,"not","CASP3"
"CASP8",-0.61969545265108,1.76460443024297,-8.07547944038655,7.0866520648027e-15,1.01613053562779e-13,21.9357960630074,"not","CASP8"
"CYCS",-0.815183439786261,4.43523616544297,-7.9717534550443,1.47502842687436e-14,2.0490717287631e-13,21.2122624975383,"not","CYCS"
"CHMP3",-0.65599480989422,2.16133931620211,-7.74376356822704,7.21487333780605e-14,9.24615473166115e-13,19.6463597562064,"not","CHMP3"
"GSDMB",-0.83219229050202,1.86210124553655,-7.27904282844988,1.65320890435705e-12,1.84034143562812e-11,16.5615012108377,"not","GSDMB"
"CHMP4C",-0.812456264178829,2.49931906092446,-7.17781271475405,3.20876891459148e-12,3.46945167807875e-11,15.9090981330856,"not","CHMP4C"
"IL1B",0.378106332411006,0.454047605166007,5.36403925577185,1.34337127210687e-07,8.70537385843549e-07,5.50059569007807,"not","IL1B"
"NLRP1",-0.430561826083631,0.847812295408245,-4.9930291826061,8.71041756811685e-07,5.1185099692999e-06,3.69070939954112,"not","NLRP1"
"CHMP4A",-0.239672125439589,0.726423738204828,-4.16899283081166,3.71359923003779e-05,0.000172769655971487,0.0889250254138592,"not","CHMP4A"
"GSDMC",-0.201037612487797,0.188982628254567,-3.82365917296747,0.000151286317549481,0.000634434510773777,-1.24330482560145,"not","GSDMC"
"CHMP2B",-0.293311045026488,3.30158395243185,-3.65301371469523,0.000291755647475689,0.00115764437575012,-1.8619699288116,"not","CHMP2B"
"TP53",-0.411859911919062,2.89479557612057,-3.22466662896545,0.00135913057305,0.00473086662505488,-3.29745342917673,"not","TP53"
"CHMP7",-0.212075868169237,2.58095010605638,-3.08016080023214,0.00220402429069124,0.00733673695898457,-3.74336727965638,"not","CHMP7"
"TP63",-0.0853771829471558,0.120879284555849,-2.38151826689585,0.0176834461548334,0.0464956935351823,-5.62120277225782,"not","TP63"
"NLRP9",-0.0113374995408452,0.017402009407052,-2.01043360574267,0.045020335518563,0.103856275382155,-6.42837124268148,"not","NLRP9"
"GSDMA",-0.07256486380238,0.17568476634888,-1.9656205772965,0.0499970242984085,0.113491903930484,-6.51680330962688,"not","GSDMA"
"IL1A",-0.0183778932598227,0.0314202724946726,-1.88107570305853,0.0606490885938349,0.133516263318311,-6.6783079161947,"not","IL1A"
"CASP4",-0.177266564560162,2.42976020282752,-1.78571771977086,0.0748621231451523,0.159419898755416,-6.8520869563775,"not","CASP4"
"CASP5",-0.0441355086456508,0.100537835012525,-1.64869347244246,0.0999538150357245,0.201568938205923,-7.08619820850794,"not","CASP5"
"NLRC4",0.0528586555225685,0.43850252110064,1.4146712947068,0.157901472540531,0.290210062869049,-7.44333547700756,"not","NLRC4"
"IRF2",-0.120564046549489,3.1394341592441,-1.37595126689413,0.169565664785934,0.30685135380544,-7.49721678804519,"not","IRF2"
"IRF1",-0.102250799850969,2.78186892947892,-0.848259958253419,0.396773543982348,0.569574766292286,-8.08337412486369,"not","IRF1"
"NAIP",-0.00625410752281613,0.0527138704447298,-0.725982663411212,0.468251378776648,0.636519679005219,-8.17966305697783,"not","NAIP"
"ZBP1",-0.0329389933997343,0.228493460679656,-0.685792602888055,0.493220047345786,0.656905316866654,-8.20805342965759,"not","ZBP1"
"CASP1",-0.0456339153070122,1.66656138418136,-0.424764830326155,0.671224356015888,0.801840913223251,-8.35316187456397,"not","CASP1"
"IL18",-0.0503778162802764,1.25258985960338,-0.381897489172807,0.702729415930942,0.826452042107558,-8.37047797105705,"not","IL18"
"ELANE",0.011831829321711,0.0982629135563087,0.37708074228522,0.7063029345769,0.826452042107558,-8.37230874397016,"not","ELANE"
"GZMB",-0.0366964465053772,0.951861694130252,-0.313123400421476,0.754341429664238,0.85410694928551,-8.39441645972991,"not","GZMB"
"AIM2",-0.0180985800986173,0.313917335575245,-0.252120034667652,0.80107088910846,0.895331661607497,-8.41168698909668,"not","AIM2"
"GZMA",-0.00162996116472147,2.09407466648953,-0.00979717053337347,0.992187738451784,1,-8.4434795204447,"not","GZMA"
